owl:,http://www.w3.org/2002/07/owl#
rdfs:,http://www.w3.org/2000/01/rdf-schema#
rdf:,http://www.w3.org/1999/02/22-rdf-syntax-ns#
xsd:,http://www.w3.org/2001/XMLSchema#
xml:,http://www.w3.org/XML/1998/namespace
swrl:,http://www.w3.org/2003/11/swrl#
swrlb:,http://www.w3.org/2003/11/swrlb#
skos:,http://www.w3.org/2004/02/skos/core#
time:,http://www.w3.org/2006/time#
grddl:,http://www.w3.org/2003/g/data-view#
ma:,http://www.w3.org/ns/ma-ont#
prov:,http://www.w3.org/ns/prov#
rdfa:,http://www.w3.org/ns/rdfa#
rif:,http://www.w3.org/2007/rif#
rr:,http://www.w3.org/ns/r2rml#
sd:,http://www.w3.org/ns/sparql-service-description#
skosxl:,http://www.w3.org/2008/05/skos-xl#
wdr:,http://www.w3.org/2007/05/powder#
void:,http://rdfs.org/ns/void#
wdrs:,http://www.w3.org/2007/05/powder-s#
xhv:,http://www.w3.org/1999/xhtml/vocab#
org:,http://www.w3.org/ns/org#
gldp:,http://www.w3.org/ns/people#
cnt:,http://www.w3.org/2008/content#
dcat:,http://www.w3.org/ns/dcat#
earl:,http://www.w3.org/ns/earl#
ht:,http://www.w3.org/2006/http#
ptr:,http://www.w3.org/2009/pointers#
cc:,http://creativecommons.org/ns#
ctag:,http://commontag.org/ns#
dcterms:,http://purl.org/dc/terms/
dc:,http://purl.org/dc/elements/1.1/
foaf:,http://xmlns.com/foaf/0.1/
gr:,http://purl.org/goodrelations/v1#
ical:,http://www.w3.org/2002/12/cal/icaltzd#
og:,http://ogp.me/ns#
rev:,http://purl.org/stuff/rev#
sioc:,http://rdfs.org/sioc/ns#
vcard:,http://www.w3.org/2006/vcard/ns#
schema:,http://schema.org/
geo:,http://www.w3.org/2003/01/geo/wgs84_pos#
sc:,http://purl.org/science/owl/sciencecommons/
fb:,http://rdf.freebase.com/ns/
geonames:,http://www.geonames.org/ontology#
dbpedia:,http://dbpedia.org/resource/
dbp:,http://dbpedia.org/property/
dbo:,http://dbpedia.org/ontology/
yago:,http://dbpedia.org/class/yago/
wikidata:,http://www.wikidata.org/entity/
vann:,http://purl.org/vocab/vann/
vs:,http://www.w3.org/2003/06/sw-vocab-status/ns#
